Date,Open,Stock Price,Low,Close*,Adj. close**,Volume
7/16/2023,4.04,4.05,3.97,4.02,3.7114,"840,246"
7/9/2023,4.09,4.09,4,4.05,3.7391,"761,110"
7/2/2023,4.01,4.1,3.99,4.1,3.7853,"648,990"
6/25/2023,3.98,4.02,3.98,4.01,3.7022,"1,351,042"
6/18/2023,3.99,4.02,3.98,3.99,3.6837,"732,340"
6/11/2023,3.99,4.02,3.97,4.01,3.7022,"2,780,335"
6/4/2023,4,4,3.97,3.99,3.6837,"1,071,316"
5/28/2023,3.99,4.01,3.98,4,3.693,"1,408,335"
5/21/2023,4.01,4.02,3.96,3.98,3.6745,"1,140,781"
5/14/2023,3.98,4.02,3.97,4.02,3.7114,"1,406,701"
5/7/2023,3.98,4.01,3.97,3.98,3.6745,"450,061"
4/30/2023,3.99,4.06,3.98,3.98,3.6745,"831,787"
4/23/2023,4.07,4.07,3.96,3.97,3.6653,"795,633"
4/16/2023,4.1,4.1,3.95,4.07,3.7576,"2,027,118"
4/9/2023,4.07,4.12,3.95,4.11,3.7945,"500,731"
4/2/2023,4.05,4.07,3.93,4.07,3.7576,"229,574"
3/26/2023,3.91,4.08,3.85,4.05,3.6612,"1,832,712"
3/19/2023,3.94,3.96,3.87,3.96,3.5799,"1,426,933"
3/12/2023,3.93,4,3.91,3.95,3.5708,"731,670"
3/5/2023,3.98,4,3.89,3.93,3.5528,"610,269"
2/26/2023,4.12,4.12,3.9,3.99,3.607,"477,866"
2/19/2023,4.15,4.15,3.93,4.12,3.7245,"619,181"
2/12/2023,4.3,4.35,4.15,4.15,3.7516,"560,642"
2/5/2023,4.37,4.37,4.22,4.3,3.8872,"278,240"
1/29/2023,4.33,4.41,4.25,4.37,3.9505,"489,168"
1/22/2023,4.33,4.46,4.31,4.37,3.9505,"398,578"
1/15/2023,4.34,4.46,4.34,4.34,3.9234,"350,094"
1/8/2023,4.2,4.36,4.15,4.36,3.9415,"885,348"
1/1/2023,4.13,4.2,4.1,4.17,3.7697,"71,961"
12/25/2022,4.14,4.22,4.06,4.13,3.7336,"73,340"
12/18/2022,4.26,4.3,4.13,4.14,3.7426,"717,240"
12/11/2022,4.06,4.3,4.06,4.3,3.8872,"491,748"
12/4/2022,4.12,4.16,4.05,4.06,3.6703,"426,420"
11/27/2022,4.17,4.2,4.05,4.11,3.7155,"628,640"
11/20/2022,4.15,4.29,4.1,4.15,3.7516,"751,310"
11/13/2022,4.21,4.25,4.13,4.15,3.7516,"665,899"
11/6/2022,4.26,4.35,4.13,4.19,3.7878,"559,175"
10/30/2022,4.09,4.29,4.06,4.26,3.8511,"742,466"
10/23/2022,4.08,4.1,4.02,4.1,3.7064,"423,625"
10/16/2022,4.15,4.15,3.93,4.08,3.6884,"614,326"
